Date;Trit
1953,67;15
1953,75;19
1953,83;18
1953,92;27
1954;20
1954,08;20
1954,25;443
1954,33;391
1954,42;474
1954,5;180
1954,58;139
1954,67;84
1954,75;44
1954,83;24
1954,92;29
1955;20
1955,08;17
1955,17;25
1955,25;32
1955,33;35
1955,42;60
1955,5;64
1955,58;26
1955,67;20
1955,75;34
1955,83;17
1955,92;18
1956;22
1956,08;44
1956,17;43
1956,25;69
1956,33;70
1956,42;124
1956,5;136
1956,58;136
1956,67;254
1956,75;73
1956,83;54
1956,92;34
1957;32
1957,08;65
1957,17;87
1957,25;63
1957,33;60
1957,42;100
1957,5;88
1957,58;111
1957,67;93
1957,75;82
1957,83;62
1957,92;48
1958;56
1958,08;145
1958,17;162
1958,25;162
1958,33;223
1958,42;315
1958,5;453
1958,58;428
1958,67;747
1958,75;191
1958,83;88
1958,92;141
1959;330
1959,08;395
1959,17;469
1959,25;641
1959,33;523
1959,42;354
1959,5;382
1959,58;321
1959,67;154
1959,75;80
1959,83;65
1959,92;69
1960;64
1960,08;70
1960,17;84
1960,25;60
1960,33;90
1960,42;111
1960,5;149
1960,58;171
1960,67;114
1960,75;84
1960,83;67
1960,92;36
1961;54
1961,08;62
1961,17;53
1961,25;61
1961,33;115
1961,42;143
1961,5;170
1961,58;133
1961,67;118
1961,75;60
1961,83;67
1961,92;177
1962;354
1962,08;311
1962,17;638
1962,25;569
1962,33;611
1962,42;735
1962,5;717
1962,58;785
1962,67;491
1962,75;316
1962,83;260
1962,92;208
1963;515
1963,08;500
1963,17;625
1963,25;890
1963,33;1710
1963,42;975
1963,5;1470
1963,58;3890
1963,67;1500
1963,75;1000
1963,83;587
1963,92;600
1964;750
1964,08;825
1964,17;1190
1964,25;1000
1964,33;1340
1964,42;1980
1964,5;1380
1964,58;1155
1964,67;910
1964,75;1140
1964,83;1415
1964,92;1415
1965;290
1965,08;305
1965,17;295
1965,25;525
1965,33;895
1965,42;770
1965,5;990
1965,58;878
1965,67;440
1965,75;345
1965,83;175
1965,92;175
1966;200
1966,08;182
1966,17;320
1966,25;380
1966,33;420
1966,42;530
1966,5;585
1966,58;635
1966,67;270
1966,75;150
1966,83;110
1966,92;150
1967;225
1967,08;100
1967,17;170
1967,25;175
1967,33;250
1967,42;270
1967,5;305
1967,58;305
1967,67;205
1967,75;125
1967,83;95
1967,92;50
1968;90
1968,08;125
1968,17;155
1968,25;140
1968,33;200
1968,42;210
1968,5;230
1968,58;200
1968,67;145
1968,75;80
1968,83;90
1968,92;95
1969;120
1969,08;87
1969,17;94
1969,25;179
1969,33;271
1969,42;98
1969,5;217
1969,58;226
1969,67;197
1969,75;90
1969,83;53
1969,92;94
1970;43
1970,08;52
1970,17;103
1970,25;142
1970,33;131
1970,42;186
1970,5;207
1970,58;208
1970,67;196
1970,75;114
1970,83;99
1970,92;71
1971;47
1971,08;70
1971,17;70
1971,25;70
1971,33;146
1971,42;167
1971,5;226
1971,58;223
1971,67;67
1971,75;70
1971,83;75
1971,92;52
1972;77
1972,08;61
1972,17;63
1972,25;86
1972,33;84
1972,42;79
1972,5;82
1972,58;63
1972,67;94
1972,75;54
1972,83;45
1972,92;28
1973;29
1973,08;29
1973,17;32
1973,25;43
1973,33;112
1973,42;107
1973,5;85
1973,58;47
1973,67;84
1973,75;53
1973,83;43
1973,92;45
1974;33
1974,08;39
1974,17;50
1974,25;58
1974,33;72
1974,42;91
1974,5;99
1974,58;97
1974,67;53
1974,75;70
1974,83;138
1974,92;69
1975;23
1975,08;36
1975,17;40
1975,25;55
1975,33;61
1975,42;62
1975,5;81
1975,58;81
1975,67;81
1975,75;40
1975,83;23
1975,92;25
1976;25
1976,08;35
1976,17;34
1976,25;32
1976,33;32
1976,42;40
1976,5;41
1976,58;44
1976,67;42
1976,75;16
1976,83;27
1976,92;32
1977;34
1977,08;24
1977,17;24
1977,25;31
1977,33;42
1977,42;66
1977,5;76
1977,58;69
1977,67;65
1977,75;45
1977,83;38
1977,92;33
1978;30
1978,08;28
1978,17;51
1978,25;53
1978,33;65
1978,42;65
1978,5;59
1978,58;58
1978,67;50
1978,75;43
1978,83;66
1978,92;28
1979;18
1979,08;35
1979,17;35
1979,25;35
1979,33;36
1979,42;40
1979,5;47
1979,58;44
1979,67;35
1979,75;27
1979,83;38
1979,92;20
1980;25
1980,08;42
1980,17;43
1980,25;20
1980,33;16
1980,42;29
1980,5;38
1980,58;39
1980,67;43
1980,75;36
1980,83;21
1980,92;16
1981;36
1981,08;32
1981,17;16
1981,25;158
1981,33;79
1981,42;64
1981,5;51
1981,58;49
1981,67;62
1981,75;31
1981,83;18
1981,92;18
1982;13
1982,08;8
1982,17;45
1982,25;35
1982,33;25
1982,42;39
1982,5;34
1982,58;42
1982,67;44
1982,75;14
1982,83;29
1982,92;29
1983;12
1983,08;19
1983,17;22
1983,25;16
1983,33;21
1983,42;56
1983,5;37
1983,58;27
1983,67;25
1983,75;37
1983,83;16
1983,92;26
1984;16
1984,08;31
1984,17;14
1984,25;43
1984,33;77
1984,42;41
1984,5;47
1984,58;35
1984,67;32
1984,75;31
1984,83;32
1984,92;20
1985;9
1985,08;22
1985,17;12
1985,25;20
1985,33;15
1985,42;43
1985,5;36
1985,58;21
1985,67;20
1985,75;16
1985,83;18
1985,92;13
1986;35
1986,08;10
1986,17;15
1986,25;15
1986,33;19
1986,42;22
1986,5;23
1986,58;23
1986,67;23
1986,75;24
1986,83;12
1986,92;20
1987;17
1987,08;9
1987,17;15
1987,25;15
1987,33;17
1987,42;28
1987,5;25
1987,58;23
1987,67;17
1987,75;18
1987,83;28
1987,92;15
1988;26
1988,08;9
1988,17;18
1988,25;49
1988,33;23
1988,42;27
1988,5;35
1988,58;28
1988,67;13
1988,75;10
1988,83;15
1988,92;21
1989;37
1989,08;7
1989,17;13
1989,25;24
1989,33;22
1989,42;39
1989,5;15
1989,58;20
1989,67;36
1989,75;14
1989,83;9
1989,92;11
1990;10
1990,08;17
1990,17;16
1990,25;10
1990,33;15
1990,42;18
1990,5;20
1990,58;13
1990,67;13
1990,75;20
1990,83;8
1990,92;21
1991;14
1991,08;11
1991,17;45
1991,25;13
1991,33;13
1991,42;15
1991,5;14
1991,58;15
1991,67;15
1991,75;14
1991,83;18
1991,92;12
1992;9
1992,08;15
1992,17;16
1992,25;15
1992,33;13
1992,42;17
1992,5;17
1992,58;12
1992,67;15
1992,75;14
1992,83;6
1992,92;20
1993;9
1993,08;7
1993,17;10
1993,25;7
1993,33;14
1993,42;16
1993,5;19
1993,58;12
1993,67;14
1993,75;17
1993,83;16
1993,92;5
1994;5
1994,08;10
1994,17;14
1994,25;14
1994,33;18
1994,42;18
1994,5;17
1994,58;11
1994,67;13
1994,75;9
1994,83;11
1994,92;8
1995;11
1995,08;12
1995,17;11
1995,25;14
1995,33;13
1995,42;19
1995,5;15
1995,58;15
1995,67;13
1995,75;9
1995,83;7
1995,92;12
1996;10
1996,08;9
1996,17;15
1996,25;14
1996,33;13
1996,42;16
1996,5;13
1996,58;9
1996,67;14
1996,75;12
1996,83;5
1996,92;4
1997;9
1997,08;11
1997,17;22
1997,25;11
1997,33;13
1997,42;13
1997,5;8
1997,58;12
1997,67;13
1997,75;10
1997,83;12
1997,92;11
1998;11
1998,08;6
1998,17;14
1998,25;9
1998,33;8
1998,42;16
1998,5;15
1998,58;19
1998,67;13
1998,75;16
1998,83;8
1998,92;12
1999;9
1999,08;8
1999,17;13
1999,25;11
1999,33;12
1999,42;14
1999,5;14
1999,58;11
1999,67;14
1999,75;8
1999,83;11
1999,92;9
2000;6
2000,08;9
2000,17;12
2000,25;10
2000,33;9
2000,42;15
2000,5;10
2000,58;8
2000,67;11
2000,75;10
2000,83;10
2000,92;8
2001;7
2001,08;9
2001,17;13
2001,25;10
2001,33;8
2001,42;13
2001,5;10
2001,58;8
2001,67;11
2001,75;10
2001,83;12
2001,92;9
2002;10
